Date,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
02-02-2020,1,Andhra Pradesh,0,0,0
02-02-2020,2,Andaman and Nicobar Islands,0,0,0
02-02-2020,3,Arunachal Pradesh,0,0,0
02-02-2020,4,Assam,0,0,0
02-02-2020,5,Bihar,0,0,0
02-02-2020,6,Chandigarh,0,0,0
02-02-2020,7,Chhattisgarh,0,0,0
02-02-2020,8,Delhi,0,0,0
02-02-2020,9,Goa,0,0,0
02-02-2020,10,Gujarat,0,0,0
02-02-2020,11,Haryana,0,0,0
02-02-2020,12,Himachal Pradesh,0,0,0
02-02-2020,13,Jammu and Kashmir,0,0,0
02-02-2020,14,Jharkhand,0,0,0
02-02-2020,15,Karnataka,0,0,0
02-02-2020,16,Kerala,2,0,0
02-02-2020,17,Ladakh,0,0,0
02-02-2020,18,Madhya Pradesh,0,0,0
02-02-2020,19,Maharashtra,0,0,0
02-02-2020,20,Manipur,0,0,0
02-02-2020,21,Mizoram,0,0,0
02-02-2020,22,Odisha,0,0,0
02-02-2020,23,Puducherry,0,0,0
02-02-2020,24,Punjab,0,0,0
02-02-2020,25,Rajasthan,0,0,0
02-02-2020,26,Tamil Nadu,0,0,0
02-02-2020,27,Telengana,0,0,0
02-02-2020,28,Tripura,0,0,0
02-02-2020,29,Uttarakhand,0,0,0
02-02-2020,30,Uttar Pradesh,0,0,0
02-02-2020,31,West Bengal,0,0,0
Total number of confirmed cases in India,,,2*,0,0
