Date,S. No.,Name of State / UT,Total Confirmed cases (Including 71 foreign Nationals) ,Cured/Discharged/Migrated,Death
04-10-2020,1,Andhra Pradesh,363,7,6
04-10-2020,2,Andaman and Nicobar Islands,11,0,0
04-10-2020,3,Arunachal Pradesh,1,0,0
04-10-2020,4,Assam,29,0,0
04-10-2020,5,Bihar,60,0,1
04-10-2020,6,Chandigarh,18,7,0
04-10-2020,7,Chhattisgarh,10,9,0
04-10-2020,8,Delhi,898,25,13
04-10-2020,9,Goa,7,1,0
04-10-2020,10,Gujarat,241,26,17
04-10-2020,11,Haryana,169,29,3
04-10-2020,12,Himachal Pradesh,28,6,1
04-10-2020,13,Jammu and Kashmir,184,6,4
04-10-2020,14,Jharkhand,13,0,1
04-10-2020,15,Karnataka,197,30,6
04-10-2020,16,Kerala,357,96,2
04-10-2020,17,Ladakh,15,10,0
04-10-2020,18,Madhya Pradesh,259,0,16
04-10-2020,19,Maharashtra,1364,125,97
04-10-2020,20,Manipur,2,1,0
04-10-2020,21,Mizoram,1,0,0
04-10-2020,22,Odisha,44,2,1
04-10-2020,23,Puducherry,5,1,0
04-10-2020,24,Punjab,132,5,11
04-10-2020,25,Rajasthan,463,21,3
04-10-2020,26,Tamil Nadu,834,21,8
04-10-2020,27,Telengana,473,35,7
04-10-2020,28,Tripura,1,0,0
04-10-2020,29,Uttarakhand,35,5,0
04-10-2020,30,Uttar Pradesh,431,32,4
04-10-2020,31,West Bengal,116,16,5
Total number of confirmed cases in India,,,6761*,516,206
*States wise distribution is subject to further verification and reconciliation
