Date,S. No.,Name of State / UT,Total Confirmed cases (Including 111 foreign Nationals) ,Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities )
05-08-2020,1,Andaman and Nicobar Islands,33,33,0
05-08-2020,2,Andhra Pradesh,1847,780,38
05-08-2020,3,Arunachal Pradesh,1,1,0
05-08-2020,4,Assam,54,34,1
05-08-2020,5,Bihar,550,246,5
05-08-2020,6,Chandigarh,135,21,1
05-08-2020,7,Chhattisgarh,59,38,0
05-08-2020,8,Dadar Nagar Haveli,1,0,0
05-08-2020,9,Delhi,5980,1931,66
05-08-2020,10,Goa,7,7,0
05-08-2020,11,Gujarat,7012,1709,425
05-08-2020,12,Haryana,625,260,7
05-08-2020,13,Himachal Pradesh,46,38,2
05-08-2020,14,Jammu and Kashmir,793,335,9
05-08-2020,15,Jharkhand,132,41,3
05-08-2020,16,Karnataka,705,366,30
05-08-2020,17,Kerala,503,474,4
05-08-2020,18,Ladakh,42,17,0
05-08-2020,19,Madhya Pradesh,3252,1231,193
05-08-2020,20,Maharashtra,17974,3301,694
05-08-2020,21,Manipur,2,2,0
05-08-2020,22,Meghalaya,12,10,1
05-08-2020,23,Mizoram,1,0,0
05-08-2020,24,Odisha,219,62,2
05-08-2020,25,Puducherry,9,6,0
05-08-2020,26,Punjab,1644,149,28
05-08-2020,27,Rajasthan,3427,1596,97
05-08-2020,28,Tamil Nadu,5409,1547,37
05-08-2020,29,Telengana,1123,650,29
05-08-2020,30,Tripura,65,2,0
05-08-2020,31,Uttarakhand,61,39,1
05-08-2020,32,Uttar Pradesh,3071,1250,62
05-08-2020,33,West Bengal,1548,364,151
Total number of confirmed cases in India,56342*,16540,1886
*States wise distribution is subject to further verification and reconciliation
*Our figures are being reconciled with ICMR
