Date,S. No.,Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Deaths**
05-21-2020,1,Andaman and Nicobar Islands,33,33,0
05-21-2020,2,Andhra Pradesh,2602,1640,53
05-21-2020,3,Arunachal Pradesh,1,1,0
05-21-2020,4,Assam,170,48,4
05-21-2020,5,Bihar,1674,571,10
05-21-2020,6,Chandigarh,202,57,3
05-21-2020,7,Chhattisgarh,115,59,0
05-21-2020,8,Dadar Nagar Haveli,1,0,0
05-21-2020,9,Delhi,11088,5192,176
05-21-2020,10,Goa,50,7,0
05-21-2020,11,Gujarat,12537,5219,749
05-21-2020,12,Haryana,993,648,14
05-21-2020,13,Himachal Pradesh,110,54,3
05-21-2020,14,Jammu and Kashmir,1390,678,18
05-21-2020,15,Jharkhand,231,127,3
05-21-2020,16,Karnataka,1462,556,41
05-21-2020,17,Kerala,666,502,4
05-21-2020,18,Ladakh,44,43,0
05-21-2020,19,Madhya Pradesh,5735,2733,267
05-21-2020,20,Maharashtra,39297,10318,1390
05-21-2020,21,Manipur,25,2,0
05-21-2020,22,Meghalaya,14,12,1
05-21-2020,23,Mizoram,1,1,0
05-21-2020,24,Odisha,1052,307,6
05-21-2020,25,Puducherry,18,9,0#
05-21-2020,26,Punjab,2005,1794,38
05-21-2020,27,Rajasthan,6015,3404,147
05-21-2020,28,Tamil Nadu,13191,5882,87
05-21-2020,29,Telengana,1661,1015,40
05-21-2020,30,Tripura,173,133,0
05-21-2020,31,Uttarakhand,122,53,1
05-21-2020,32,Uttar Pradesh,5175,3066,127
05-21-2020,33,West Bengal,3103,1136,253
"",Cases being reassigned to states,1403,"",""
"",Total#,112359,45300,3435
*(Including foreign Nationals)
**( more than 70% cases due to comorbidities )
#States wise distribution is subject to further verification and reconciliation
#Our figures are being reconciled with ICMR
